,0
Start,0.0
End,2782.0
Duration,2782.0
Exposure Time [%],60.58210564139418
Equity Final [$],108187.47306000003
Equity Peak [$],110922.72172000007
Return [%],8.187473060000034
Buy & Hold Return [%],-0.7037297677691866
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],8.180042034842385
Beta,-0.010559486749019242
Max. Drawdown [%],-3.1580983640508875
Avg. Drawdown [%],-1.1150950079683097
Max. Drawdown Duration,1204.0
Avg. Drawdown Duration,188.6153846153846
# Trades,87.0
Win Rate [%],49.42528735632184
Best Trade [%],3.2951289398280847
Worst Trade [%],-1.2949640287769792
Avg. Trade [%],0.09132015888031475
Max. Trade Duration,226.0
Avg. Trade Duration,19.057471264367816
Profit Factor,1.553363317415305
Expectancy [%],0.09358294793246276
SQN,1.2572520276969767
Kelly Criterion,0.02096375447596127
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"            Equity  DrawdownPct  DrawdownDuration
0     100000.00000     0.000000               NaN
1     100000.00000     0.000000               NaN
2     100000.00000     0.000000               NaN
3     100000.00000     0.000000               NaN
4     100000.00000     0.000000               NaN
...            ...          ...               ...
2778  108187.47306     0.024659               NaN
2779  108187.47306     0.024659               NaN
2780  108187.47306     0.024659               NaN
2781  108187.47306     0.024659               NaN
2782  108187.47306     0.024659            1204.0

[2783 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ExitPrice        SL    TP        PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag
0   7117        65       79       14.05   14.06000  14.00785  None   71.17000   0.000712         65        79        14  None
1  -7117        79       90       14.06   14.20000       NaN  None -996.38000  -0.009957         79        90        11  None
2   7051       183      195       14.05   14.06000  14.00785  None   70.51000   0.000712        183       195        12  None
3  -7051       195      204       14.06   14.02000  14.10218  None  282.04000   0.002845        195       204         9  None
4   7091       204      217       14.02   13.95000       NaN  None -496.37000  -0.004993        204       217        13  None
..   ...       ...      ...         ...        ...       ...   ...        ...        ...        ...       ...       ...   ...
82  7713      2554     2557       14.05   14.00785       NaN  None -325.10295  -0.003000       2554      2557         3  None
83  7695      2616     2622       14.04   13.99788       NaN  None -324.11340  -0.003000       2616      2622         6  None
84  7678      2736     2757       14.03   14.08000  13.98791  None  383.90000   0.003564       2736      2757        21  None
85 -7678      2757     2760       14.08   14.08000  14.12224  None   -0.00000  -0.000000       2757      2760         3  None
86  7678      2760     2774       14.08   14.10000  14.03776  None  153.56000   0.001420       2760      2774        14  None

[87 rows x 13 columns]"
