,0
Start,502682.0
End,628345.0
Duration,125663.0
Exposure Time [%],0.8920613700025466
Equity Final [$],95657.34424999991
Equity Peak [$],100902.19654999986
Return [%],-4.342655750000093
Buy & Hold Return [%],154.68940718503612
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],-5.759400990477141
Beta,0.009158644190693468
Max. Drawdown [%],-8.250666145955233
Avg. Drawdown [%],-4.578729313282578
Max. Drawdown Duration,124267.0
Avg. Drawdown Duration,41778.0
# Trades,176.0
Win Rate [%],31.25
Best Trade [%],8.443708609271528
Worst Trade [%],-2.1943916641127825
Avg. Trade [%],-0.025154294692941725
Max. Trade Duration,98.0
Avg. Trade Duration,5.8352272727272725
Profit Factor,0.9041326625905893
Expectancy [%],-0.02149172276828758
SQN,-0.39999664543736235
Kelly Criterion,-0.10963767945630476
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"              Equity  DrawdownPct  DrawdownDuration
502682  100000.00000     0.000000               NaN
502683  100000.00000     0.000000               NaN
502684   99996.71000     0.000033               NaN
502685  100273.07000     0.000000               2.0
502686  100269.78000     0.000033               NaN
...              ...          ...               ...
628341   95657.34425     0.051980               NaN
628342   95657.34425     0.051980               NaN
628343   95657.34425     0.051980               NaN
628344   95657.34425     0.051980               NaN
628345   95657.34425     0.051980          124267.0

[125664 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice         SL    TP  \
0     329         2        6      303.16  302.24055        NaN  None   
1     329         7        7      303.00  302.09100        NaN  None   
2     326         8        8      304.00  303.07803        NaN  None   
3     326         9        9      303.87  303.08800        NaN  None   
4     326        10       10      303.01  303.01000        NaN  None   
..    ...       ...      ...         ...        ...        ...   ...   
171  -291      1473     1476      333.57  335.99497        NaN  None   
172   287      1608     1610      335.78  336.07000  333.65602  None   
173  -287      1610     1612      336.07  337.63000  338.69304  None   
174   284      1612     1614      337.63  337.61000  334.10467  None   
175  -284      1614     1616      337.61  339.00000        NaN  None   

           PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0   -302.49905  -0.003033     502684    502688         4  None  
1   -299.06100  -0.003000     502689    502689         0  None  
2   -300.56222  -0.003033     502690    502690         0  None  
3   -254.93200  -0.002573     502691    502691         0  None  
4      0.00000   0.000000     502692    502692         0  None  
..         ...        ...        ...       ...       ...   ...  
171 -705.66627  -0.007270     504155    504158         3  None  
172   83.23000   0.000864     504290    504292         2  None  
173 -447.72000  -0.004642     504292    504294         2  None  
174   -5.68000  -0.000059     504294    504296         2  None  
175 -394.76000  -0.004117     504296    504298         2  None  

[176 rows x 13 columns]"
