epoch,step,train_loss,val_loss
0,49,0.024515816941857338,
0,99,0.020173896104097366,
0,149,0.01478956826031208,
0,199,0.02102855034172535,
0,249,0.011891256086528301,
0,299,0.013570274226367474,
0,349,0.03749487176537514,
0,399,0.00764256389811635,
0,449,0.013928349129855633,
0,499,0.029998784884810448,
0,549,0.005155530758202076,
0,599,0.038003332912921906,
0,649,0.03885013237595558,
0,699,0.018531370908021927,
0,749,0.006475275848060846,
0,799,0.008088428527116776,
0,849,0.0189303457736969,
0,899,0.01111458707600832,
0,949,0.016104411333799362,
0,999,0.017599890008568764,
0,1049,0.1602904200553894,
0,1099,0.010240808129310608,
0,1149,0.010465014725923538,
0,1199,0.008836839348077774,
0,1249,0.013721923343837261,
0,1299,0.003964882809668779,
0,1349,0.006391135044395924,
0,1399,0.012915224768221378,
0,1449,0.006062643602490425,
0,1499,0.01589895226061344,
0,1549,0.012896868400275707,
0,1599,0.00925552286207676,
0,1649,0.012163566425442696,
0,1699,0.009000198915600777,
0,1749,0.023760972544550896,
0,1799,0.0020159012638032436,
0,1849,0.01809062995016575,
0,1899,0.0278354249894619,
0,1949,0.008621049113571644,
0,1999,0.013845342211425304,
0,2049,0.013630089350044727,
0,2099,0.010091271251440048,
0,2149,0.012670771218836308,
0,2199,0.008851289749145508,
0,2249,0.03058522194623947,
0,2299,0.021564455702900887,
0,2349,0.02229020558297634,
0,2399,0.008975735865533352,
0,2449,0.004341150168329477,
0,2499,0.003802521852776408,
0,2549,0.01909085549414158,
0,2586,,0.005052000284194946
1,2599,0.011586638167500496,
1,2649,0.01673816330730915,
1,2699,0.010738332755863667,
1,2749,0.027471939101815224,
1,2799,0.011768264696002007,
1,2849,0.006574389059096575,
1,2899,0.003742849687114358,
1,2949,0.002789522521197796,
1,2999,0.022474002093076706,
1,3049,0.009067193605005741,
1,3099,0.03585774078965187,
1,3149,0.007159004919230938,
1,3199,0.01778358966112137,
1,3249,0.017429884523153305,
1,3299,0.015911495313048363,
1,3349,0.01426850724965334,
1,3399,0.010029003024101257,
1,3449,0.011555533856153488,
1,3499,0.010209773667156696,
1,3549,0.01696273311972618,
1,3599,0.005226354114711285,
1,3649,0.025994114577770233,
1,3699,0.005711639765650034,
1,3749,0.011192992329597473,
