,0
Start,502682.0
End,628345.0
Duration,125663.0
Exposure Time [%],2.177234530175707
Equity Final [$],113877.00878000044
Equity Peak [$],119762.53650000026
Return [%],13.877008780000441
Buy & Hold Return [%],154.68940718503612
Return (Ann.) [%],0.0
Volatility (Ann.) [%],
Sharpe Ratio,
Sortino Ratio,
Calmar Ratio,0.0
Alpha [%],13.300668362641675
Beta,0.003725791105200629
Max. Drawdown [%],-10.574714880037828
Avg. Drawdown [%],-1.5163179529813144
Max. Drawdown Duration,124369.0
Avg. Drawdown Duration,4486.678571428572
# Trades,634.0
Win Rate [%],38.801261829652994
Best Trade [%],2.7922571919641648
Worst Trade [%],-1.9307385841250468
Avg. Trade [%],0.02054311761705563
Max. Trade Duration,104.0
Avg. Trade Duration,3.971608832807571
Profit Factor,1.1547454291987262
Expectancy [%],0.021610375546013003
SQN,1.1188370324337409
Kelly Criterion,-0.03484297411764531
_strategy,MLStrategy(stop_loss_pct=0.003)
_equity_curve,"              Equity  DrawdownPct  DrawdownDuration
502682  100000.00000     0.000000               NaN
502683  100000.00000     0.000000               NaN
502684   99996.71000     0.000033               NaN
502685  100273.07000     0.000000               2.0
502686  100269.78000     0.000033               NaN
...              ...          ...               ...
628341  113877.00878     0.049143               NaN
628342  113877.00878     0.049143               NaN
628343  113877.00878     0.049143               NaN
628344  113877.00878     0.049143               NaN
628345  113877.00878     0.049143          124369.0

[125664 rows x 3 columns]"
_trades,"     Size  EntryBar  ExitBar  EntryPrice  ExitPrice         SL    TP  \
0     329         2        5      303.16  303.03000  302.24055  None   
1    -329         5        7      303.03  303.00000  304.89194  None   
2     329         7        7      303.00  302.09100        NaN  None   
3     328        10       10      303.01  303.01000        NaN  None   
4     328        11       11      303.01  302.10097        NaN  None   
..    ...       ...      ...         ...        ...        ...   ...   
629   320      3175     3177      359.97  358.92000        NaN  None   
630   319      3244     3245      359.99  359.31000  357.92300  None   
631  -319      3245     3276      359.31  361.06997        NaN  None   
632   314      3534     3535      363.23  363.25000  362.12037  None   
633  -314      3535     3562      363.25  364.33975        NaN  None   

           PnL  ReturnPct  EntryTime  ExitTime  Duration   Tag  
0    -42.77000  -0.000429     502684    502687         3  None  
1      9.87000   0.000099     502687    502689         2  None  
2   -299.06100  -0.003000     502689    502689         0  None  
3      0.00000   0.000000     502692    502692         0  None  
4   -298.16184  -0.003000     502693    502693         0  None  
..         ...        ...        ...       ...       ...   ...  
629 -336.00000  -0.002917     505857    505859         2  None  
630 -216.92000  -0.001889     505926    505927         1  None  
631 -561.43043  -0.004898     505927    505958        31  None  
632    6.28000   0.000055     506216    506217         1  None  
633 -342.18150  -0.003000     506217    506244        27  None  

[634 rows x 13 columns]"
