epoch,loss,mae,val_loss,val_mae
0,19.431278228759766,0.8099259734153748,0.004749384708702564,0.04882843419909477
1,0.0016672007041051984,0.02602592296898365,0.004810519982129335,0.049092598259449005
2,0.0016643631970509887,0.025973251089453697,0.004774642176926136,0.048928152769804
3,0.0016410384560003877,0.025505710393190384,0.0047295670956373215,0.048649244010448456
4,0.0016136195044964552,0.025205334648489952,0.004717590752989054,0.04847292974591255
5,0.0016136125195771456,0.02521185763180256,0.004713170696049929,0.048459023237228394
6,0.0016137186903506517,0.02521885372698307,0.004725876729935408,0.0485241562128067
7,24.171960830688477,0.3333019018173218,0.0054704840295016766,0.05403975769877434
8,0.0016768239438533783,0.026079094037413597,0.004754830151796341,0.04882161691784859
9,0.0016137652564793825,0.025199303403496742,0.004667607601732016,0.048283521085977554
10,0.0016136439517140388,0.025213539600372314,0.00468034390360117,0.048360783606767654
11,0.0016138401115313172,0.02521633170545101,0.004710113629698753,0.048542268574237823
12,0.0016147271962836385,0.025228608399629593,0.004652766976505518,0.04819381609559059
13,0.0016155662015080452,0.025243086740374565,0.004694816190749407,0.04844873398542404
14,0.0016158358193933964,0.025249389931559563,0.004553887061774731,0.0476158931851387
15,0.0016156790079548955,0.02525055781006813,0.004697585012763739,0.04846556857228279
16,0.0016157589852809906,0.025253837928175926,0.004640734288841486,0.04812153801321983
17,0.0016162133542820811,0.02525424025952816,0.004644340835511684,0.04814314469695091
18,0.0016157254576683044,0.025254396721720695,0.004672704730182886,0.048314422369003296
19,0.0016161708626896143,0.025255341082811356,0.004642860498279333,0.04813428223133087
20,0.0016168435104191303,0.025267796590924263,0.004671736154705286,0.048308517783880234
21,0.0016152207972481847,0.025244731456041336,0.004763036035001278,0.048874977976083755
22,0.0016160159138962626,0.02524740621447563,0.0046723876148462296,0.048312485218048096
23,0.0016154905315488577,0.0252513587474823,0.004590158350765705,0.047818515449762344
24,0.0016158485086634755,0.025255559012293816,0.004696282092481852,0.048457641154527664
