epoch,loss,mae,val_loss,val_mae
0,0.0017864403780549765,0.02875330112874508,0.005156829487532377,0.051861729472875595
1,0.0016948617994785309,0.027492528781294823,0.004808091092854738,0.049477431923151016
2,0.001659879577346146,0.02698405459523201,0.00547594390809536,0.05398428067564964
3,0.001619062852114439,0.026278745383024216,0.005063300486654043,0.050957467406988144
4,0.0015944645274430513,0.025868196040391922,0.004807952791452408,0.04912274330854416
5,0.0015740039525553584,0.02558005601167679,0.005331121385097504,0.053012967109680176
6,0.0015686355764046311,0.025510579347610474,0.004954698495566845,0.05003003031015396
7,0.001553729292936623,0.025487763807177544,0.005154826678335667,0.05188435688614845
8,0.0015374637441709638,0.025477604940533638,0.004466330166906118,0.04769778251647949
9,0.0015113394474610686,0.02544608898460865,0.005349449347704649,0.05297600105404854
10,0.001469644601456821,0.025324935093522072,0.004484683275222778,0.047234758734703064
11,0.0014495388604700565,0.025323694571852684,0.004950925707817078,0.0501304529607296
12,0.0014169304631650448,0.025189479812979698,0.004579765256494284,0.04801855981349945
13,0.0013939982745796442,0.02517770230770111,0.0047123427502810955,0.048871416598558426
14,0.0013786411145702004,0.025094127282500267,0.004672821145504713,0.049446940422058105
15,0.0013579482911154628,0.025157921016216278,0.005092455539852381,0.051042910665273666
16,0.0013445477234199643,0.025040319189429283,0.0047520725056529045,0.04875820130109787
17,0.0013223651330918074,0.024956978857517242,0.004514290951192379,0.048151884227991104
18,0.0013120179064571857,0.024916863068938255,0.006532562430948019,0.058756474405527115
