epoch,loss,mae,val_loss,val_mae
0,0.007583249360322952,0.054872795939445496,0.004670444875955582,0.048301905393600464
1,0.0016502010403200984,0.025867704302072525,0.004821550101041794,0.049263693392276764
2,0.0016601026291027665,0.026016799733042717,0.004945553373545408,0.050122927874326706
3,0.0016593418549746275,0.026025980710983276,0.004718345124274492,0.04860300198197365
4,0.0016595723573118448,0.025989647954702377,0.004589765332639217,0.04781901463866234
5,0.001659266883507371,0.025997918099164963,0.004755560774356127,0.04882926866412163
6,0.0016538971103727818,0.025927631184458733,0.004549308214336634,0.047599826008081436
7,0.0016519698547199368,0.02589593082666397,0.0046181343495845795,0.04798926040530205
8,0.0016468053217977285,0.025807484984397888,0.004708893597126007,0.04853704944252968
9,0.001642127986997366,0.025717319920659065,0.00454142177477479,0.047547612339258194
10,0.001638058922253549,0.025688406080007553,0.004801311995834112,0.04912762716412544
11,0.0016354952240362763,0.025604363530874252,0.004637673497200012,0.048104628920555115
12,0.0016343746101483703,0.025584472343325615,0.004741508513689041,0.0487377792596817
13,0.0016317771514877677,0.025540731847286224,0.0046296450309455395,0.04805420711636543
14,0.001629750127904117,0.025481730699539185,0.00475488742813468,0.048821792006492615
15,0.0016293911030516028,0.025494437664747238,0.004738152958452702,0.04871596023440361
16,0.001629019738174975,0.025491541251540184,0.0045342412777245045,0.04750820994377136
17,0.0016293637454509735,0.025478558614850044,0.0046490333043038845,0.0481719933450222
18,0.0016299635171890259,0.025487547740340233,0.004387285094708204,0.04680382087826729
19,0.001629626494832337,0.0254864189773798,0.004749983549118042,0.04879118129611015
20,0.0016291645588353276,0.025477178394794464,0.0046948036178946495,0.04845210164785385
21,0.0016289826016873121,0.025467239320278168,0.004732970613986254,0.048684120178222656
22,0.0016283950535580516,0.025469472631812096,0.004841262008994818,0.04939769580960274
23,0.0016298055415973067,0.025499174371361732,0.004728976637125015,0.04866162687540054
24,0.001629566540941596,0.025480160489678383,0.004545025993138552,0.04756748676300049
25,0.0016291418578475714,0.025497131049633026,0.004611966200172901,0.04794895648956299
26,0.001628626137971878,0.025480134412646294,0.0048171598464250565,0.049232810735702515
27,0.0016295828390866518,0.025476815178990364,0.004727579187601805,0.04865020513534546
28,0.001629156293347478,0.02547961100935936,0.00473754620179534,0.04871208965778351
