epoch,loss,val_loss
0,0.0006175900343805552,2.8620306693483144e-06
1,0.0002115745301125571,4.11003065892146e-06
2,0.00020489966846071184,7.117837958503515e-05
3,0.00020124969887547195,1.1206804629182443e-05
4,0.00019269739277660847,1.9328441339894198e-05
5,0.0001907344558276236,4.4790314859710634e-05
6,0.0001854173606261611,1.7690204913378693e-05
7,0.00018704681133385748,3.0613951821578667e-05
8,0.0001861016353359446,1.9551514924387448e-05
9,0.00018258798809256405,1.0661572559911292e-05
10,0.0001794821146177128,2.1908082999289036e-05
11,0.00018336613720748574,8.558844456274528e-06
12,0.00018341740360483527,5.719174623664003e-06
13,0.00018119592277798802,1.3695176676264964e-05
14,0.00017942051636055112,1.16086594061926e-05
15,0.00017997471150010824,1.4036577340448275e-05
16,0.00017939340614248067,2.904785105783958e-05
17,0.00017743586795404553,2.8602603379113134e-06
18,0.00017813863814808428,1.2634308404813055e-05
19,0.00017634009418543428,2.735004954956821e-06
20,0.0001769753434928134,7.85875727160601e-06
21,0.00017803185619413853,3.7387405882327585e-06
22,0.00017605685570742935,7.76591696194373e-06
23,0.00017341777856927365,5.576054718403611e-06
24,0.00017579077393747866,7.700912647123914e-06
25,0.00017596338875591755,5.18264687343617e-06
26,0.00017174184904433787,1.8391247067484073e-05
27,0.0001752557000145316,3.935954737244174e-06
28,0.00017529439355712384,2.1888969058636576e-05
29,0.0001739316649036482,1.427237020834582e-05
30,0.00017416894843336195,5.615086047328077e-05
31,0.00017134346126113087,2.8348749765427783e-06
32,0.00017228611977770925,7.697794353589416e-05
33,0.00017210391524713486,9.01530893315794e-06
34,0.00017250202654395252,2.6331490516895428e-05
35,0.00017164791643153876,3.89360548069817e-06
36,0.00017209435463882983,3.192413487340673e-06
37,0.00017588629270903766,2.4566730644437484e-05
38,0.00017182400915771723,2.318402948731091e-05
39,0.00017244704940821975,2.59151329373708e-06
40,0.00017191663209814578,1.9811677702818997e-05
41,0.00017396781186107546,4.412895577843301e-06
42,0.00017294700955972075,3.747240771190263e-05
43,0.00017131681670434773,4.149630058236653e-06
44,0.00017637782730162144,8.535839697287884e-06
45,0.00017424441466573626,2.804064706651843e-06
46,0.00017366949759889394,7.069235834933352e-06
47,0.00017291725089307874,2.870906246243976e-05
48,0.00016822302131913602,2.1056277546449564e-05
49,0.00016964379756245762,9.167523967335e-05
