epoch,loss,val_loss
0,730.560546875,414066.4375
1,42.98412322998047,396212.09375
2,39.503265380859375,394656.5
3,37.1994514465332,387914.15625
4,35.08190155029297,386603.90625
5,33.457401275634766,387242.375
6,31.806344985961914,388671.90625
7,30.154415130615234,387057.0
8,28.731098175048828,376639.28125
9,27.598203659057617,375655.9375
